Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
P795 -6.5 -15.4 0.3 15.79 9.08 15.79 -6.9 -15.4 0.8 34.508 -116.148 1095.3 0.4 0.0 -0.5
P796 -7.0 -13.4 -1.0 15.30 15.30 15.30 -7.3 -13.7 -0.3 32.498 -114.759 10.2 0.3 0.3 -0.7
P797 10.1 -31.7 -0.2 15.04 15.04 15.04 9.9 -31.7 0.4 33.537 -116.593 1403.8 0.2 0.0 -0.6
P798 -10.1 -16.3 -1.0 14.95 14.95 14.95 -10.1 -16.3 -0.2 43.796 -110.961 2450.5 -0.0 0.0 -0.8
P799 18.2 -37.1 -0.4 14.60 14.60 14.60 17.1 -37.8 0.1 33.928 -118.306 24.8 1.1 0.7 -0.5
P800 17.8 -38.7 -1.8 7.32 7.38 7.21 16.7 -38.3 0.6 34.022 -118.349 -2.3 1.1 -0.4 -2.4
P801 -3.6 -18.4 -12.2 9.26 13.03 8.51 -5.3 -18.4 -8.0 44.390 -110.544 2368.6 1.7 -0.0 -4.2
P802 -4.7 -16.2 -1.9 12.86 12.86 12.86 -5.1 -16.3 -2.1 46.558 -100.623 572.4 0.4 0.1 0.2
P803 -1.8 -17.0 -1.3 12.85 12.85 12.85 -2.0 -16.9 -1.5 46.326 -90.684 414.2 0.2 -0.1 0.2
P804 1.6 -13.3 -0.8 12.85 12.85 12.85 1.6 -13.2 -0.9 32.963 -84.226 216.4 0.0 -0.1 0.1
P805 1.7 -13.3 -0.6 11.30 11.30 11.30 1.6 -13.3 -0.6 32.963 -84.226 215.7 0.1 -0.0 -0.0
P806 1.6 -13.2 -0.7 10.49 10.49 11.30 1.7 -13.2 -0.2 32.963 -84.226 215.9 -0.1 0.0 -0.5
P807 -3.6 -12.6 -0.6 12.84 12.84 12.84 -3.3 -12.6 -0.7 30.495 -98.822 419.0 -0.3 0.0 0.1
P808 7.1 -27.1 -0.4 12.48 12.48 12.48 6.6 -26.8 0.3 34.836 -118.621 914.3 0.5 -0.3 -0.7
P809 0.8 -25.2 -64.2 11.99 6.39 4.20 -0.5 -26.0 -43.7 35.744 -119.237 62.6 1.3 0.8 -20.5
P810 0.2 -25.4 -64.5 12.01 6.41 4.19 -0.6 -25.7 -36.3 35.744 -119.237 62.4 0.8 0.3 -28.2
P811 3.0 -20.9 -0.2 6.32 12.46 12.46 3.5 -21.0 -0.2 35.152 -118.017 708.7 -0.5 0.1 -0.0
P812 2.3 -21.5 -0.3 6.35 6.97 12.48 3.5 -21.3 -0.2 35.152 -118.017 708.4 -1.2 -0.2 -0.1
P813 -10.1 -13.2 -1.2 6.64 6.64 6.64 -10.1 -13.4 -0.8 47.759 -118.746 644.0 -0.0 0.2 -0.4
P814 -10.3 -13.4 -1.2 6.64 6.64 6.64 -10.3 -13.5 -0.9 47.759 -118.745 644.4 -0.0 0.1 -0.3
P815 -3.1 0.9 0.9 10.53 5.41 10.53 -2.8 1.4 0.9 47.937 -124.557 36.2 -0.3 -0.5 -0.0
P816 -2.8 1.5 1.2 10.53 10.53 10.53 -2.9 1.2 1.3 47.937 -124.557 35.8 0.1 0.3 -0.1
P817 3.2 -15.3 -0.9 11.96 11.97 11.97 3.3 -15.3 -1.2 40.146 -78.511 384.0 -0.1 0.0 0.3
P818 -8.0 -14.9 -0.6 7.24 7.24 7.24 -8.0 -14.9 -0.9 45.457 -109.571 1452.5 0.0 0.0 0.3
P819 -8.0 -14.9 -0.6 7.24 7.24 7.24 -7.9 -14.8 -0.8 45.457 -109.571 1453.1 -0.1 -0.1 0.2
P820 -2.5 -11.3 0.6 8.05 8.05 8.05 -2.5 -11.3 0.7 42.862 -124.054 68.8 0.0 0.0 -0.1
P821 -4.1 -12.9 -0.1 6.29 6.29 6.29 -4.0 -13.0 0.7 43.145 -123.429 252.3 -0.1 0.1 -0.8
PAA1 4.3 -15.3 -0.9 11.03 11.03 11.03 4.4 -15.3 -0.7 40.625 -75.440 86.0 -0.1 -0.0 -0.2
PAAC 3.7 -15.1 -1.2 4.99 5.00 8.00 3.4 -15.0 -1.3 39.861 -77.233 131.5 0.3 -0.1 0.1
PAAP 3.0 -15.5 -2.3 17.44 17.45 10.50 2.8 -15.3 -2.2 40.445 -79.959 312.5 0.2 -0.2 -0.1
PAAR 11.3 -2.8 -2.0 8.22 8.22 8.22 11.3 -3.0 -0.9 -3.212 -52.213 94.2 -0.0 0.2 -1.1
PAAT 12.8 -4.4 0.3 7.52 7.52 7.52 12.4 -4.4 -1.4 -3.201 -52.181 162.6 0.4 0.0 1.7
PABH -1.1 0.6 0.0 26.66 22.90 26.66 -1.0 0.7 0.0 47.213 -124.205 12.9 -0.1 -0.1 -0.0
PABM 3.9 -14.9 -0.5 5.67 5.67 5.66 4.8 -15.6 -0.1 40.380 -76.028 76.0 -0.9 0.7 -0.4
PABT 3.4 -15.9 -1.8 15.38 7.46 15.38 3.4 -16.0 -1.3 41.779 -76.447 224.9 -0.0 0.1 -0.5
PAC1 57.2 21.6 -3.1 11.56 4.72 10.18 56.4 23.2 -2.1 -35.383 -217.809 82.1 0.8 -1.6 -1.0
PAC2 11.0 -1.8 1.0 6.41 6.41 6.41 11.2 -2.0 1.5 -29.714 -57.086 97.4 -0.2 0.2 -0.5
PACA 16.7 21.4 -1.3 19.43 19.43 19.43 16.8 21.4 -1.4 40.870 -345.444 128.1 -0.1 -0.0 0.1
PACB 3.8 -15.3 -1.6 9.97 9.97 9.97 3.8 -15.2 -1.6 39.935 -77.659 168.5 0.0 -0.1 -0.0
PACH 3.9 -15.2 -1.1 13.20 11.65 13.20 3.9 -15.3 -1.0 39.934 -77.651 167.5 -0.0 0.1 -0.1
PACO 4.4 -15.0 -1.1 12.98 12.99 12.99 4.4 -14.9 -1.0 39.980 -75.863 164.0 0.0 -0.1 -0.1
PACS 2.9 -15.8 -1.8 15.43 8.33 15.63 2.9 -16.0 -1.5 41.239 -79.429 413.3 0.0 0.2 -0.3
PADL 5.1 -15.1 -1.3 5.00 5.00 5.00 4.8 -15.2 -1.3 40.313 -75.136 78.3 0.3 0.1 -0.0
PADO 16.9 21.2 -0.5 23.42 23.42 12.07 17.0 21.1 -0.7 45.411 -348.104 64.7 -0.1 0.1 0.2
PADT 16.8 16.1 -4.8 11.87 11.52 12.71 16.9 16.3 -3.5 50.541 -4.937 65.5 -0.1 -0.2 -1.3
PAEK 35.3 -18.5 0.9 15.31 13.35 25.39 36.5 -18.3 0.3 -41.022 -185.048 443.2 -1.2 -0.2 0.6
PAER 2.1 -15.4 0.6 6.55 6.55 6.55 2.1 -15.4 0.6 42.078 -80.091 255.4 -0.0 -0.0 -0.0
PAFC 3.4 -15.8 -1.0 14.91 14.91 14.91 3.5 -15.8 -1.1 39.947 -77.670 175.9 -0.1 -0.0 0.1
PAFM 3.5 -15.3 -1.6 15.14 13.42 15.14 3.5 -15.2 -1.3 39.962 -77.979 285.5 -0.0 -0.1 -0.3
PAFU 2.9 -15.2 -1.5 17.02 17.02 10.86 2.9 -15.1 -1.3 39.927 -79.697 326.8 0.0 -0.1 -0.2
PAGB 3.9 -15.2 -1.1 7.75 13.20 13.20 3.9 -15.2 -1.1 39.831 -77.232 144.5 -0.0 0.0 -0.0
PAGL 18.6 23.1 -1.1 9.05 9.06 8.23 18.9 23.2 -1.2 42.164 -345.502 287.5 -0.3 -0.1 0.1
PAGU 16.6 17.1 -2.1 7.39 7.39 7.39 15.0 16.2 -2.1 38.767 -27.184 304.4 1.6 0.9 -0.0
PAGW 1.4 -14.2 -1.1 6.52 6.47 10.76 1.7 -14.3 -1.9 39.899 -80.160 262.8 -0.3 0.1 0.8
PAH5 36.1 -62.7 0.2 11.55 11.55 6.84 36.7 -62.0 0.3 19.518 -154.962 197.0 -0.6 -0.7 -0.1
PAH6 35.9 -62.2 0.1 11.55 11.55 6.87 36.8 -61.5 0.1 19.518 -154.962 198.4 -0.9 -0.7 -0.0
PAHG 4.0 -15.3 -1.7 11.51 11.51 11.45 4.1 -15.2 -1.7 40.252 -76.826 88.1 -0.1 -0.1 -0.0
PAII 3.0 -15.6 -2.2 16.37 16.37 16.37 2.9 -15.5 -2.0 40.606 -79.186 377.9 0.1 -0.1 -0.2
PAIN 52.9 23.7 -6.5 6.95 6.34 6.29 52.8 23.8 -6.0 -38.442 -215.932 40.0 0.1 -0.1 -0.5
PAIT 12.4 -3.9 0.3 15.37 15.37 15.37 12.4 -3.7 -1.3 -4.288 -56.036 9.2 0.0 -0.2 1.6
PAJA 8.1 4.8 1.5 10.17 10.17 10.17 8.0 4.9 0.9 -40.661 -72.127 465.2 0.1 -0.1 0.6
PAJP 3.1 -15.5 -1.8 13.84 13.84 13.84 3.1 -15.5 -1.6 40.946 -78.951 379.3 -0.0 0.0 -0.2
PAKI 20.9 4.7 2.6 7.52 10.59 14.99 20.7 3.3 2.7 -37.894 -181.917 828.4 0.2 1.4 -0.1
PAKO 14.9 20.4 -0.0 10.55 10.55 10.55 14.8 20.3 -0.3 51.614 -342.944 146.6 0.1 0.1 0.3
PAKU -10.3 26.2 -2.0 7.78 7.76 7.54 -9.2 26.4 -1.1 23.916 -239.364 432.0 -1.1 -0.2 -0.9
PAL2 10.3 13.2 3.2 19.00 19.00 11.62 10.3 13.0 4.5 -64.775 -64.051 31.1 0.0 0.2 -1.3
PAL4 -10.8 29.3 -0.7 5.39 5.39 5.39 -10.9 29.3 -0.6 37.358 -233.489 85.9 0.1 -0.0 -0.1
PAL6 16.2 20.1 -1.2 8.11 8.11 8.11 16.0 19.8 -1.2 45.602 -350.103 238.7 0.2 0.3 -0.0
PAL9 16.3 20.0 -1.8 13.43 17.64 17.64 16.3 20.0 -2.1 43.376 -355.190 60.4 -0.0 -0.0 0.3
PALA 20.2 -63.9 -0.8 7.67 7.67 7.67 20.0 -64.0 -0.2 7.328 -225.550 74.4 0.2 0.1 -0.6
PALB 19.2 23.9 -0.2 6.10 6.10 6.10 19.0 23.5 -0.7 41.142 -343.216 64.7 0.2 0.4 0.5
PALC 16.1 18.2 0.1 9.66 9.66 9.66 16.0 18.2 0.2 37.702 -2.932 916.9 0.1 -0.0 -0.1
PALE 16.9 19.3 -0.8 17.61 17.60 8.10 16.9 18.8 -1.2 42.008 -4.558 797.6 -0.0 0.5 0.4
PALG 17.0 -37.0 -1.7 6.09 6.09 6.09 15.7 -38.4 -1.6 33.389 -117.032 528.8 1.3 1.4 -0.1
PALI 30.4 -34.9 -4.0 9.82 8.36 9.98 31.0 -34.7 -3.4 -41.569 -184.745 624.1 -0.6 -0.2 -0.6
PALM 10.4 12.5 6.5 26.64 11.85 16.68 10.3 12.8 5.1 -64.775 -64.051 31.1 0.1 -0.3 1.4
PALV 10.4 13.1 5.8 8.02 8.44 8.44 10.0 12.5 5.1 -64.775 -64.051 31.1 0.4 0.6 0.7
PALW 2.7 -15.7 -0.9 5.70 5.44 6.91 2.7 -15.4 -1.0 40.591 -77.565 121.6 -0.0 -0.3 0.1
PALX 20.2 -42.2 -0.5 14.90 14.90 14.90 20.3 -42.3 -0.5 31.559 -116.064 1545.5 -0.1 0.1 -0.0
PALZ 19.2 23.9 0.1 9.61 19.06 19.06 19.2 23.6 0.1 40.944 -344.040 497.7 -0.0 0.3 -0.0
PAM2 14.3 2.8 0.6 6.18 6.18 6.18 13.4 3.0 0.7 7.384 -72.648 2366.6 0.9 -0.2 -0.1
PAMA 17.6 20.5 -5.2 6.67 6.67 6.23 17.5 20.7 -3.1 44.800 -349.639 105.6 0.1 -0.2 -2.1
PAMI 13.3 -17.5 0.1 7.96 7.96 7.96 13.0 -17.5 0.4 62.012 -49.671 99.8 0.3 -0.0 -0.3
PAML 3.8 -15.0 -1.2 11.72 11.72 11.72 3.8 -15.1 -1.1 39.999 -76.350 74.9 0.0 0.1 -0.1
PAMM 2.7 -15.6 -0.8 14.98 14.98 14.98 2.5 -15.6 -1.3 41.230 -80.245 354.4 0.2 -0.0 0.5
PAMO 16.4 19.6 -0.1 10.00 10.00 10.00 16.4 19.7 0.4 46.467 -355.882 335.5 0.0 -0.1 -0.5
PAMP 16.5 18.8 -0.2 9.44 9.44 9.44 16.5 18.7 0.1 42.806 -1.636 524.5 0.0 0.1 -0.3
PAMS 4.2 -14.9 -1.2 17.74 16.91 17.74 4.0 -15.0 -1.1 40.996 -75.251 192.6 0.2 0.1 -0.1
PAN1 16.3 18.2 0.3 7.51 14.11 14.11 16.4 18.1 -0.6 48.855 -357.606 120.6 -0.1 0.1 0.9
PAN3 -7.3 -16.4 -1.1 11.95 11.95 11.95 -7.0 -16.4 -1.1 49.643 -104.664 687.7 -0.3 0.0 -0.0
PAN9 -12.0 32.6 0.1 13.76 13.10 14.47 -12.1 32.4 -0.7 23.565 -240.436 29.3 0.1 0.2 0.8
PANE 16.7 18.2 -0.5 9.83 9.83 9.83 16.8 18.3 -0.8 43.325 -4.583 93.9 -0.1 -0.1 0.3
PAO1 -11.3 -13.1 11.8 6.60 6.58 15.41 -11.0 -12.8 12.3 23.109 -239.297 431.6 -0.3 -0.3 -0.5
PAO2 -10.4 30.5 1.8 7.00 6.97 8.49 -8.7 29.0 -1.1 24.708 -239.077 85.2 -1.7 1.5 2.9
PAOC 14.5 -28.5 -30.8 4.70 4.68 5.19 6.3 -20.3 -0.1 41.429 -79.710 290.8 8.2 -8.2 -30.7
PAOL 17.0 22.1 0.5 15.92 15.92 15.92 17.0 21.9 -0.1 41.031 -345.433 714.6 0.0 0.2 0.6
PAPC 3.2 -15.6 -0.4 17.02 10.21 17.02 3.2 -15.5 -0.8 41.764 -78.023 484.6 0.0 -0.1 0.4
PAPE 34.5 -66.5 -1.2 21.60 15.60 21.60 34.3 -66.1 -1.5 -17.533 -149.573 11.9 0.2 -0.4 0.3
PAPH 4.7 -14.9 -1.0 9.80 9.84 8.43 4.5 -15.1 -0.7 40.013 -75.176 26.5 0.2 0.2 -0.3
PAPO 18.5 30.8 -0.7 5.83 5.83 5.83 18.9 31.2 -0.2 -25.108 -70.495 45.2 -0.4 -0.4 -0.5
PAPV 4.2 -15.2 -0.0 6.63 6.63 6.63 4.1 -15.3 0.2 40.675 -76.227 218.0 0.1 0.1 -0.2
PAR0 15.7 20.9 -0.0 12.25 11.69 12.25 15.6 20.8 0.0 44.446 -351.919 849.8 0.1 0.1 -0.0
PAR1 15.3 11.5 -0.2 10.49 10.49 10.49 15.4 11.3 -0.0 16.026 -61.686 607.9 -0.1 0.2 -0.2
PAR5 12.8 25.5 0.8 9.98 8.90 8.93 11.2 26.4 0.7 -0.753 -259.681 109.5 1.6 -0.9 0.1
PAR6 -0.1 -16.2 -2.9 12.27 12.27 12.27 -0.1 -16.2 -3.0 42.874 -88.593 232.5 0.0 0.0 0.1
PAR7 18.8 21.6 -0.2 9.48 9.48 9.48 18.8 21.6 -0.9 38.040 -346.890 247.6 -0.0 0.0 0.7
PARC 11.7 4.4 -0.4 26.63 23.61 26.64 11.9 4.3 -1.1 -53.137 -70.880 22.3 -0.2 0.1 0.7
PARD 16.2 19.8 -0.5 17.77 17.77 17.77 16.3 19.8 -1.0 43.431 -357.177 622.8 -0.1 -0.0 0.5
PARI 18.1 -6.0 -2.9 18.08 5.67 10.15 17.6 -5.1 -2.6 -38.923 -182.117 507.4 0.5 -0.9 -0.3
PARK 55.2 20.4 1.1 19.64 19.64 16.74 54.3 20.1 -0.8 -32.999 -211.735 397.4 0.9 0.3 1.9
PARL 4.7 -14.8 -1.5 22.32 22.32 22.32 4.6 -15.0 -1.4 40.196 -75.060 75.3 0.1 0.2 -0.1
PARM 17.3 21.8 -0.9 17.95 17.94 17.95 17.2 21.7 -0.2 44.765 -349.688 121.8 0.1 0.1 -0.7
PARO -8.7 -15.3 -0.1 9.31 9.31 7.28 -8.0 -15.5 -1.0 38.034 -112.676 1854.6 -0.7 0.2 0.9
PARR 16.6 20.7 0.2 15.29 15.29 15.29 16.7 20.6 -0.0 45.777 -348.877 875.8 -0.1 0.1 0.2
PARW 31.6 -33.8 -2.6 8.69 12.38 19.46 31.0 -33.9 -3.8 -41.382 -184.573 556.8 0.6 0.1 1.2
PARY 1.7 -16.8 0.9 23.23 16.80 20.13 1.8 -16.6 1.2 45.339 -80.036 145.0 -0.1 -0.2 -0.3
PAS1 -6.9 -13.3 0.6 5.19 5.19 5.19 -7.0 -13.0 1.9 34.074 -106.921 1417.1 0.1 -0.3 -1.3
PAS2 16.1 20.4 0.3 11.87 11.87 11.87 16.2 20.6 -0.2 46.193 -348.098 1418.7 -0.1 -0.2 0.5
PASA 16.6 18.8 -0.3 18.52 18.52 14.15 16.5 18.9 -0.5 43.322 -1.932 67.4 0.1 -0.1 0.2
PASC 13.4 22.4 -1.3 7.58 7.58 7.58 13.3 22.4 -1.5 47.249 -333.261 251.8 0.1 -0.0 0.2
PASM 11.8 -3.9 -2.3 10.13 10.13 10.13 12.0 -4.1 -3.8 -2.428 -54.729 24.1 -0.2 0.2 1.5
PASS 3.8 -15.3 -0.7 17.74 17.74 17.74 4.0 -15.2 -1.1 40.639 -76.158 164.5 -0.2 -0.1 0.4
PASU 15.5 21.0 0.2 16.27 16.33 11.41 15.6 20.9 0.2 48.568 -346.557 419.6 -0.1 0.1 0.0
PAT0 -6.5 7.2 -0.8 15.53 16.59 16.59 -5.7 8.1 -0.7 38.284 -338.213 121.0 -0.8 -0.9 -0.1
PAT2 17.3 19.9 -3.8 18.75 18.75 10.21 16.8 19.3 -2.4 47.208 -348.540 2298.3 0.5 0.6 -1.4
PAT3 -2.9 -13.3 34.5 9.42 9.41 9.15 11.7 -35.4 22.3 19.430 -155.572 3831.6 -14.6 22.1 12.2
PATA 12.0 -2.7 0.9 12.11 12.11 12.11 11.9 -2.6 1.0 -40.797 -62.989 61.1 0.1 -0.1 -0.1
PATH 16.9 23.4 2.7 8.81 8.81 8.81 16.9 21.7 3.2 -20.821 -70.153 873.3 -0.0 1.7 -0.5
PATN -5.2 15.9 3.9 5.18 4.52 5.18 -5.2 15.3 2.7 -78.030 -155.023 514.9 -0.0 0.6 1.2
PATR -8.1 8.1 -2.3 5.35 5.35 4.78 -8.1 7.9 -1.9 38.241 -338.267 56.6 -0.0 0.2 -0.4
PATT -2.6 -12.7 -0.3 10.80 10.80 10.80 -2.6 -12.8 -0.8 31.778 -95.719 94.9 0.0 0.1 0.5
PATY 4.1 -15.3 -0.8 9.47 9.47 9.47 4.1 -15.3 -0.7 41.190 -75.431 580.1 0.0 0.0 -0.1
PAUN 19.1 21.5 -0.3 14.86 14.86 13.46 19.2 21.6 -0.3 38.106 -346.652 113.5 -0.1 -0.1 0.0
PAVI 16.2 20.6 -1.1 9.32 20.61 16.35 16.2 20.9 -1.2 45.203 -350.864 143.6 0.0 -0.3 0.1
PAWA 23.4 -12.9 -0.5 10.22 8.72 11.73 23.8 -14.6 -0.3 -40.033 -183.136 159.0 -0.4 1.7 -0.2
PAWB 3.7 -15.4 0.6 7.52 7.52 7.52 3.7 -15.4 0.5 41.307 -76.017 374.1 0.0 0.0 0.1
PAWC 4.2 -15.4 -0.5 9.14 9.14 9.13 3.4 -15.6 -0.6 41.545 -75.211 270.3 0.8 0.2 0.1
PAWG 2.8 -15.2 -1.3 17.02 11.00 17.02 3.0 -15.2 -1.4 40.305 -79.506 334.9 -0.2 0.0 0.1
PAWK 4.7 -12.9 -0.2 4.99 5.02 5.02 4.3 -13.1 -0.6 39.769 -76.180 98.2 0.4 0.2 0.4
PAXO 16.8 24.0 -1.7 5.03 5.03 5.03 16.6 23.9 -1.9 39.211 -339.836 170.1 0.2 0.1 0.2
PAYK 3.9 -15.2 -1.5 13.20 13.20 13.20 3.9 -15.2 -1.4 39.962 -76.731 99.5 -0.0 0.0 -0.1
PAYR 15.9 20.0 -0.3 9.24 9.60 16.43 15.9 20.0 -0.3 43.551 -357.660 384.8 -0.0 0.0 0.0
PAZA 11.6 24.1 -0.5 7.61 13.96 13.96 12.2 23.7 0.3 42.231 -335.660 257.1 -0.6 0.4 -0.8
PAZO 17.3 21.1 -0.2 11.78 17.71 17.71 17.4 20.9 -0.8 45.806 -346.947 50.1 -0.1 0.2 0.6
PAZU 20.5 30.3 -1.5 11.95 11.95 11.95 20.2 30.8 -1.4 -26.148 -70.599 376.6 0.3 -0.5 -0.1
PB1Y 13.7 -33.4 1.2 10.44 10.44 5.45 13.9 -33.6 1.5 32.648 -115.692 1.2 -0.2 0.2 -0.3
PBAY -20.7 -11.6 10.5 10.66 9.36 14.12 -18.1 -11.1 9.1 59.573 -151.272 17.5 -2.6 -0.5 1.4
PBCG 11.8 -5.0 0.0 17.41 17.39 17.41 11.8 -4.7 -0.1 -7.214 -35.907 534.1 -0.0 -0.3 0.1
PBCH 3.2 -10.8 0.6 20.59 11.46 15.43 2.9 -11.2 -0.2 26.846 -80.219 -16.9 0.3 0.4 0.8
PBHR 24.9 -40.5 0.2 9.39 9.39 9.39 25.0 -40.4 0.3 35.709 -121.272 152.2 -0.1 -0.1 -0.1
PBIL 16.5 17.0 0.0 9.46 16.42 10.02 16.3 16.9 -1.4 50.522 -2.457 107.4 0.2 0.1 1.4
PBJO 30.3 28.4 -2.0 6.73 11.30 11.30 26.0 29.6 -5.6 -0.637 -261.484 35.5 4.3 -1.2 3.6
PBJP 13.5 -4.7 -0.9 7.25 12.35 12.35 13.7 -4.7 -1.5 -7.136 -34.873 49.0 -0.2 -0.0 0.6
PBL1 10.7 -33.1 0.6 5.18 5.18 5.18 11.1 -33.3 0.4 37.853 -122.419 -8.1 -0.4 0.2 0.2
PBLI 14.8 -4.3 15.6 4.94 4.65 6.24 10.5 34.7 14.1 2.309 -262.595 -10.0 4.3 -39.0 1.5
PBOC -20.2 -9.3 -3.2 13.64 12.84 13.64 -20.4 -9.2 -2.8 70.256 -148.335 20.1 0.2 -0.1 -0.4
PBOT 54.5 17.7 -1.3 14.79 14.79 14.79 54.3 17.9 -0.9 -33.974 -208.788 34.4 0.2 -0.2 -0.4
PBPP 7.4 -29.1 -0.2 18.25 23.45 12.23 7.7 -29.0 0.3 34.508 -117.923 901.9 -0.3 -0.1 -0.5
PBPT 12.0 -4.0 -1.6 5.89 5.89 4.19 12.1 -4.8 -1.0 -7.075 -37.286 257.8 -0.1 0.8 -0.6
PBR9 17.6 28.0 1.5 7.10 7.10 7.10 17.5 28.0 1.9 34.048 -281.555 4422.5 0.1 0.0 -0.4
PBRA 19.6 23.1 1.0 9.20 9.20 14.67 18.3 22.0 -0.3 42.124 -345.772 571.9 1.3 1.1 1.3
PBRI 19.4 9.3 17.5 7.98 9.49 10.06 19.3 10.2 17.4 11.638 -267.288 -22.5 0.1 -0.9 0.1
PBRO 8.2 -15.7 -1.0 9.95 9.95 9.95 8.3 -15.7 -0.9 45.405 -64.328 9.2 -0.1 0.0 -0.1
PBWA 17.2 18.2 0.1 23.44 22.22 16.87 17.2 17.9 0.2 -23.952 -328.866 461.5 0.0 0.3 -0.1
PCCL 12.5 11.1 -0.1 11.11 9.25 8.51 13.5 12.9 0.8 -18.458 -70.107 1143.7 -1.0 -1.8 -0.8
PCK5 0.0 -16.2 0.5 16.59 8.38 8.36 0.1 -16.8 0.3 46.065 -84.362 216.0 -0.1 0.6 0.2
PCK6 0.2 -17.0 0.1 8.18 8.17 8.14 0.2 -16.9 0.7 46.065 -84.362 215.9 0.0 -0.1 -0.6
PCLA 0.8 -12.5 -0.5 21.54 21.50 11.06 0.9 -12.5 -0.6 30.469 -87.189 2.0 -0.1 -0.0 0.1
PCLM 31.7 9.7 -15.6 4.55 4.81 6.49 33.5 11.4 -10.4 -34.385 -72.004 36.9 -1.8 -1.7 -5.2
PCMU 30.5 16.1 -5.8 5.94 6.01 10.35 30.5 15.8 -3.4 -34.496 -71.961 150.4 0.0 0.3 -2.4
PCNG 15.9 10.3 -4.1 8.06 8.06 8.05 16.1 7.8 -4.9 37.768 -25.396 644.2 -0.2 2.5 0.8
PCO1 16.9 16.9 -1.0 9.53 8.31 9.52 16.8 17.0 -0.7 41.912 -8.560 442.4 0.1 -0.1 -0.3
PCOL -8.1 -8.9 -1.2 12.57 22.09 22.09 -7.7 -9.3 -1.5 47.172 -122.571 79.1 -0.4 0.4 0.3
PCS2 -5.2 -8.4 -0.5 14.75 14.83 7.60 -5.4 -8.6 -0.5 44.919 -123.328 95.4 0.2 0.2 -0.0
PCT2 3.7 -14.7 0.3 9.09 9.09 9.08 4.2 -14.7 0.1 44.006 -77.142 65.9 -0.5 0.0 0.2
PCTN 52.3 18.4 -2.4 5.74 9.61 9.61 52.5 18.6 -2.1 -34.158 -209.395 192.5 -0.2 -0.2 -0.3
PD32 34.3 40.5 -7.1 12.46 12.85 11.29 34.0 40.2 -7.2 22.505 -270.564 -47.2 0.3 0.3 0.1
PDB1 17.3 16.4 -0.3 7.13 7.13 7.13 17.2 16.4 -0.6 40.902 -5.202 971.0 0.1 -0.0 0.3
PDBC 16.1 19.0 -0.4 10.77 10.77 10.77 16.0 18.9 -0.4 40.900 -5.200 969.6 0.1 0.1 -0.0
PDBG -6.6 -12.3 1.7 12.46 12.47 12.47 -6.5 -12.4 1.7 34.211 -106.827 1503.7 -0.1 0.1 0.0
PDBL 25.0 -40.7 -2.4 11.08 11.08 4.17 25.1 -40.8 -0.6 35.665 -121.283 -27.1 -0.1 0.1 -1.8
PDE3 11.2 0.1 0.6 5.85 5.85 5.85 11.6 0.2 0.7 -47.757 -65.899 21.9 -0.4 -0.1 -0.1
PDEL 16.0 13.0 -2.5 7.85 12.79 25.56 16.2 12.5 -2.1 37.748 -25.663 110.6 -0.2 0.5 -0.4
PDME 47.3 22.4 0.1 11.29 10.73 11.29 46.9 21.8 -0.7 -20.938 -194.649 98.4 0.4 0.6 0.8
PDOM 16.0 19.3 0.1 12.43 12.43 12.43 16.0 19.2 -0.4 45.772 -357.035 1513.5 0.0 0.1 0.5
PDTN -9.5 -13.6 -0.7 13.83 8.12 13.83 -9.7 -13.7 -1.7 45.666 -118.757 394.5 0.2 0.1 1.0
PDXA -6.8 -9.4 -1.8 18.57 18.57 18.57 -6.9 -9.3 -2.1 45.597 -122.609 -5.0 0.1 -0.1 0.3
PEA1 1.4 -23.3 1.8 8.78 8.78 8.78 1.1 -22.7 2.6 36.187 -120.759 789.7 0.3 -0.6 -0.8
PEA2 21.3 -40.7 1.4 8.78 8.78 8.78 21.1 -40.0 2.3 36.181 -120.767 682.5 0.2 -0.7 -0.9
PEAF 13.0 -5.0 -0.6 11.99 11.03 7.26 12.6 -4.5 -0.0 -7.764 -37.632 533.0 0.4 -0.5 -0.6
PEAL 9.1 -15.8 -1.5 11.51 11.51 11.51 9.2 -15.9 -1.5 46.061 -62.601 54.9 -0.1 0.1 0.0
PEAM 8.6 -15.7 -0.8 11.39 11.39 11.39 8.5 -15.7 -0.4 46.252 -63.686 -2.1 0.1 0.0 -0.4
PEBA 11.1 -2.7 0.2 10.70 9.92 5.43 10.8 -2.8 1.4 -33.946 -60.562 94.4 0.3 0.1 -1.2
PEBL -9.3 -14.8 -1.0 13.28 13.28 8.15 -8.2 -14.8 -3.5 44.916 -110.116 2112.1 -1.1 0.0 2.5
PEBO 47.2 22.3 -1.2 14.20 14.20 14.20 47.4 22.0 -1.5 -20.392 -195.419 86.0 -0.2 0.3 0.3
PECE 10.3 8.9 -1.3 8.27 8.99 8.27 10.1 8.2 1.4 -85.612 -68.556 1490.4 0.2 0.7 -2.7
PECL 19.3 24.2 -24.2 8.90 10.99 8.23 20.5 27.1 -19.5 -37.687 -73.651 100.1 -1.2 -2.9 -4.7
